time,body0_x,body0_y,body0_z,body1_x,body1_y,body1_z
53395200.00000000,126482077842.99980164,74925477383.26513672,0.00000000,-126482077842.99980164,-74925477383.26513672,0.00000000
53481600.00000000,125716943124.28089905,75650299918.65382385,0.00000000,-125716943124.28089905,-75650299918.65382385,0.00000000
53568000.00000000,124941891783.30142212,76369212988.14373779,0.00000000,-124941891783.30142212,-76369212988.14373779,0.00000000
53654400.00000000,124156926228.16680908,77082124692.47122192,0.00000000,-124156926228.16680908,-77082124692.47122192,0.00000000
53740800.00000000,123362048995.79875183,77788942093.69436646,0.00000000,-123362048995.79875183,-77788942093.69436646,0.00000000
53827200.00000000,122557262764.61846924,78489571190.57717896,0.00000000,-122557262764.61846924,-78489571190.57717896,0.00000000
53913600.00000000,121742570367.71746826,79183916893.48529053,0.00000000,-121742570367.71746826,-79183916893.48529053,0.00000000
54000000.00000000,120917974806.53651428,79871882998.78022766,0.00000000,-120917974806.53651428,-79871882998.78022766,0.00000000
54086400.00000000,120083479265.07453918,80553372162.69914246,0.00000000,-120083479265.07453918,-80553372162.69914246,0.00000000
54172800.00000000,119239087124.65039062,81228285874.70660400,0.00000000,-119239087124.65039062,-81228285874.70660400,0.00000000
54259200.00000000,118384801979.24099731,81896524430.30479431,0.00000000,-118384801979.24099731,-81896524430.30479431,0.00000000
54345600.00000000,117520627651.42082214,82557986903.28823853,0.00000000,-117520627651.42082214,-82557986903.28823853,0.00000000
54432000.00000000,116646568208.92869568,83212571117.42904663,0.00000000,-116646568208.92869568,-83212571117.42904663,0.00000000
54518400.00000000,115762627981.88899231,83860173617.57818604,0.00000000,-115762627981.88899231,-83860173617.57818604,0.00000000
54604800.00000000,114868811580.71563721,84500689640.16841125,0.00000000,-114868811580.71563721,-84500689640.16841125,0.00000000
54691200.00000000,113965123914.72851562,85134013083.10389709,0.00000000,-113965123914.72851562,-85134013083.10389709,0.00000000
54777600.00000000,113051570211.51347351,85760036475.02165222,0.00000000,-113051570211.51347351,-85760036475.02165222,0.00000000
54864000.00000000,112128156037.05822754,86378650943.90956116,0.00000000,-112128156037.05822754,-86378650943.90956116,0.00000000
54950400.00000000,111194887316.69819641,86989746185.06558228,0.00000000,-111194887316.69819641,-86989746185.06558228,0.00000000
55036800.00000000,110251770356.90776062,87593210428.38253784,0.00000000,-110251770356.90776062,-87593210428.38253784,0.00000000
55123200.00000000,109298811867.97412109,88188930404.94281006,0.00000000,-109298811867.97412109,-88188930404.94281006,0.00000000
55209600.00000000,108336018987.59268188,88776791312.90690613,0.00000000,-108336018987.59268188,-88776791312.90690613,0.00000000
55296000.00000000,107363399305.42462158,89356676782.68000793,0.00000000,-107363399305.42462158,-89356676782.68000793,0.00000000
55382400.00000000,106380960888.65925598,89928468841.34024048,0.00000000,-106380960888.65925598,-89928468841.34024048,0.00000000
55468800.00000000,105388712308.62576294,90492047876.31240845,0.00000000,-105388712308.62576294,-90492047876.31240845,0.00000000
55555200.00000000,104386662668.50106812,91047292598.27091980,0.00000000,-104386662668.50106812,-91047292598.27091980,0.00000000
55641600.00000000,103374821632.16261292,91594080003.25555420,0.00000000,-103374821632.16261292,-91594080003.25555420,0.00000000
55728000.00000000,102353199454.23728943,92132285333.98358154,0.00000000,-102353199454.23728943,-92132285333.98358154,0.00000000
55814400.00000000,101321807011.40005493,92661782040.34202576,0.00000000,-101321807011.40005493,-92661782040.34202576,0.00000000
55900800.00000000,100280655834.97851562,93182441739.04379272,0.00000000,-100280655834.97851562,-93182441739.04379272,0.00000000
55987200.00000000,99229758144.92198181,93694134172.43138123,0.00000000,-99229758144.92198181,-93694134172.43138123,0.00000000
56073600.00000000,98169126885.19689941,94196727166.41229248,0.00000000,-98169126885.19689941,-94196727166.41229248,0.00000000
56160000.00000000,97098775760.67289734,94690086587.51040649,0.00000000,-97098775760.67289734,-94690086587.51040649,0.00000000
56246400.00000000,96018719275.56721497,95174076299.01768494,0.00000000,-96018719275.56721497,-95174076299.01768494,0.00000000
56332800.00000000,94928972773.51818848,95648558116.23124695,0.00000000,-94928972773.51818848,-95648558116.23124695,0.00000000
56419200.00000000,93829552479.36210632,96113391760.76089478,0.00000000,-93829552479.36210632,-96113391760.76089478,0.00000000
56505600.00000000,92720475542.69102478,96568434813.89312744,0.00000000,-92720475542.69102478,-96568434813.89312744,0.00000000
56592000.00000000,91601760083.27322388,97013542668.99783325,0.00000000,-91601760083.27322388,-97013542668.99783325,0.00000000
56678400.00000000,90473425238.42149353,97448568482.96488953,0.00000000,-90473425238.42149353,-97448568482.96488953,0.00000000
56764800.00000000,89335491212.39881897,97873363126.65847778,0.00000000,-89335491212.39881897,-97873363126.65847778,0.00000000
56851200.00000000,88187979327.95532227,98287775134.37809753,0.00000000,-88187979327.95532227,-98287775134.37809753,0.00000000
56937600.00000000,87030912080.09465027,98691650652.31602478,0.00000000,-87030912080.09465027,-98691650652.31602478,0.00000000
57024000.00000000,85864313192.17298889,99084833386.00247192,0.00000000,-85864313192.17298889,-99084833386.00247192,0.00000000
57110400.00000000,84688207674.43858337,99467164546.73092651,0.00000000,-84688207674.43858337,-99467164546.73092651,0.00000000
57196800.00000000,83502621885.12512207,99838482796.95761108,0.00000000,-83502621885.12512207,-99838482796.95761108,0.00000000
57283200.00000000,82307583594.21762085,100198624194.67105103,0.00000000,-82307583594.21762085,-100198624194.67105103,0.00000000
